Open,High,Low,Close,Volume,engulfing,rsi,sma_20
54.400001525878906,54.40999984741211,51.78900146484375,52.9900016784668,6866700,0,,
53.5,56.5,52.86000061035156,55.4900016784668,8765800,0,,
56.209999084472656,56.790000915527344,53.08000183105469,53.52000045776367,7797500,0,,
53.474998474121094,54.189998626708984,51.90999984741211,52.2599983215332,8857100,0,,
51.959999084472656,52.23500061035156,50.79999923706055,51.56999969482422,4687700,0,,
51.970001220703125,53.810001373291016,51.310001373291016,53.459999084472656,6206500,0,,
53.900001525878906,53.900001525878906,52.09000015258789,52.5099983215332,2984400,0,,
52.720001220703125,54.209999084472656,51.54999923706055,54.08000183105469,4004900,0,,
54.31999969482422,55.79999923706055,53.369998931884766,54.25,7197700,0,,
55.2400016784668,55.86000061035156,54.20000076293945,55.709999084472656,5138100,0,,
56.16999816894531,56.33000183105469,54.380001068115234,54.68000030517578,4454700,-100,,
54.75,54.75,51.40999984741211,51.849998474121094,7323100,0,,
52.5,52.560001373291016,50.0,50.779998779296875,6454600,0,,
51.040000915527344,52.349998474121094,51.040000915527344,52.09000015258789,3316800,0,,
51.0,52.7599983215332,50.650001525878906,52.290000915527344,2549700,0,48.148146653068316,
52.279998779296875,52.70000076293945,51.275001525878906,51.900001525878906,2268900,0,47.10144970459722,
52.0,52.70000076293945,49.529998779296875,49.7400016784668,4553400,0,41.69513586432901,
49.7400016784668,49.7400016784668,46.5,47.869998931884766,8079700,0,37.66450982645473,
47.220001220703125,51.880001068115234,46.5,50.209999084472656,9979300,100,44.8490420623808,
52.0,52.891998291015625,51.04999923706055,52.369998931884766,7211700,0,50.518347223862705,52.48099994659424
52.70000076293945,52.790000915527344,49.310001373291016,49.439998626708984,4518800,-100,43.92260740058501,52.30349979400635
50.060001373291016,51.11000061035156,49.5,50.16999816894531,3555300,0,45.82057324949599,52.037499618530276
51.2599983215332,51.33000183105469,48.810001373291016,49.09000015258789,2611300,-100,43.476146446959355,51.815999603271486
49.5099983215332,49.900001525878906,47.279998779296875,47.900001525878906,3677700,0,40.987648166807666,51.59799976348877
47.900001525878906,49.65999984741211,47.119998931884766,49.290000915527344,3248700,0,44.951220848874215,51.48399982452393
49.61000061035156,50.52000045776367,48.29999923706055,50.52000045776367,3066400,0,48.26270474804618,51.33699989318848
51.400001525878906,53.560001373291016,51.29999923706055,52.81999969482422,4752700,0,53.852897916856,51.35249996185303
52.81999969482422,53.86000061035156,52.25,53.4900016784668,2538300,0,55.3658441685071,51.32299995422363
53.97999954223633,54.459999084472656,52.52000045776367,53.099998474121094,2328300,0,54.250875691448556,51.265499877929685
53.45000076293945,56.099998474121094,53.2599983215332,55.27000045776367,4534200,0,59.17696813743474,51.24349994659424
55.27000045776367,55.560001373291016,53.38999938964844,54.400001525878906,6128200,0,56.5480290904818,51.2295000076294
51.0,52.04999923706055,49.81999969482422,51.58000183105469,15354500,0,48.956137812349645,51.216000175476076
52.0,52.5,51.0099983215332,52.27000045776367,5796700,0,50.70019824186556,51.290500259399415
52.20000076293945,52.5,50.56999969482422,51.689998626708984,4525000,0,49.17907575913501,51.27050018310547
53.0,53.5,52.279998779296875,53.43000030517578,3541300,0,53.66986882829079,51.32750015258789
54.400001525878906,56.029998779296875,54.08000183105469,55.43000030517578,5821800,0,58.23788830688572,51.50400009155273
55.5099983215332,55.68000030517578,53.470001220703125,54.22999954223633,3291400,-100,54.7498325206082,51.72849998474121
55.11000061035156,55.7400016784668,54.2599983215332,54.9900016784668,3441900,0,56.525770012758954,52.08450012207031
55.349998474121094,59.2400016784668,55.27000045776367,58.68000030517578,7791000,0,63.92815850065563,52.508000183105466
58.0,58.900001525878906,56.43000030517578,58.65999984741211,5615400,0,63.864684019795725,52.822500228881836
59.0,64.91999816894531,59.0,61.7599983215332,15090000,0,69.00210742233655,53.438500213623044
61.5,64.19999694824219,61.40999984741211,63.880001068115234,6004900,0,71.94015238693228,54.12400035858154
63.04999923706055,63.689998626708984,60.9900016784668,61.0,6681900,0,63.17937751287255,54.719500350952146
60.84000015258789,62.68000030517578,60.790000915527344,61.91999816894531,4106900,0,64.65990958831988,55.42050018310547
62.52000045776367,63.40999984741211,61.689998626708984,62.209999084472656,3642400,0,65.1357962524482,56.06650009155273
62.58000183105469,63.5,60.90999984741211,61.5,4833300,0,62.90249726487779,56.61550006866455
61.5099983215332,64.43000030517578,60.90999984741211,63.900001525878906,5438400,0,67.01900814212607,57.16950016021728
63.900001525878906,63.900001525878906,60.79999923706055,61.93000030517578,5012200,0,61.03235143342239,57.59150009155273
61.72999954223633,64.3489990234375,60.369998931884766,63.59000015258789,6666900,0,63.954259498272336,58.116000175476074
64.3499984741211,64.69000244140625,60.88999938964844,61.060001373291016,5434400,-100,56.94582263491411,58.40550022125244
61.52000045776367,62.970001220703125,61.20000076293945,62.439998626708984,3139100,0,59.54967467847485,58.80750007629395
62.439998626708984,67.44000244140625,62.23500061035156,67.2300033569336,18797700,0,67.00815032303645,59.59000015258789
67.26000213623047,67.26000213623047,64.29000091552734,64.88999938964844,7625500,0,61.082821187399986,60.22100009918213
65.0,66.25,63.279998779296875,64.70999908447266,5711700,0,60.638624290578626,60.87200012207031
65.41000366210938,66.5,62.75,65.61000061035156,7024000,0,62.121825796339735,61.481000137329104
66.5199966430664,71.79000091552734,66.37000274658203,70.73500061035156,11835000,0,69.23179017243469,62.24625015258789
70.5,71.88999938964844,69.29000091552734,71.02999877929688,7040100,0,69.58567883483147,63.086250114440915
