Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,composite_score
DRI,156.35,N/A,18.33,N/A,8.56,N/A,1.67,N/A,11.44279646839509,N/A,8.46747511162988,N/A,N/A,0.016147162882350304
TDY,416.86,N/A,22.55,N/A,2.14,N/A,3.5,N/A,18.15285311672488,N/A,9.161259929490859,N/A,N/A,0.016106856554256796
URI,706.87,N/A,20.04,N/A,5.84,N/A,3.31,N/A,8.83599767389994,N/A,7.1831043199804,N/A,N/A,0.016077746428411484
BLK,797.56,N/A,21.84,N/A,3.02,N/A,6.64,N/A,15.420531983026505,N/A,6.6132400726804415,N/A,N/A,0.016024004657620137
ODFL,224.57,N/A,19.94,N/A,5.74,N/A,4.17,N/A,12.257716052756388,N/A,4.106224297802035,N/A,N/A,0.01596578440592951
AXP,222.46,N/A,19.84,N/A,5.74,N/A,2.39,N/A,13.075030270867165,N/A,2.578947691676943,N/A,N/A,0.015898607192440326
UPS,151.36,N/A,19.41,N/A,6.37,N/A,1.21,N/A,10.104010952346686,N/A,1.3893320541458696,N/A,N/A,0.015891889471091408
MOH,376.77,N/A,20.06,N/A,5.24,N/A,0.6478,N/A,13.064967457264958,N/A,4.52667389968536,N/A,N/A,0.01582247301715258
CSX,36.3,N/A,19.62,N/A,5.86,N/A,4.85,N/A,12.3504675295601,N/A,6.014712234836597,N/A,N/A,0.015804559093555468
OTIS,97.77,N/A,28.84,N/A,-8.05,N/A,2.79,N/A,19.19647955216285,N/A,10.795444498926782,N/A,N/A,0.01576873124636123
ULTA,444.75,N/A,17.09,N/A,9.42,N/A,1.92,N/A,10.771249181916145,N/A,4.725053044669147,N/A,N/A,0.01569931479242241
TGT,171.77,N/A,19.21,N/A,5.9,N/A,0.7383,N/A,11.27031847882295,N/A,3.084564182672867,N/A,N/A,0.015547046441846927
AMCR,9.21,N/A,20.87,N/A,3.36,N/A,0.9485,N/A,10.646003726254001,N/A,7.497411117249155,N/A,N/A,0.015524654037350531
JCI,65.19,N/A,21.23,N/A,2.66,N/A,1.66,N/A,13.684701447043702,N/A,6.000167789562669,N/A,N/A,0.015452998342962068
TXT,96.65,N/A,21.2,N/A,2.66,N/A,1.36,N/A,14.587307316557258,N/A,8.779279337576822,N/A,N/A,0.015432845178915312
GE,156.3,N/A,18.7,N/A,6.24,N/A,2.51,N/A,28.08960742582328,N/A,9.811049535929849,N/A,N/A,0.01535671100362757
RHI,75.3,N/A,19.41,N/A,4.98,N/A,1.24,N/A,15.369211789771816,N/A,2.790167138769493,N/A,N/A,0.01526938062609163
INCY,55.24,N/A,20.85,N/A,2.39,N/A,3.36,N/A,11.953974378839701,N/A,2.551656909621093,N/A,N/A,0.015076805947422636
CI,362.45,N/A,20.84,N/A,2.29,N/A,0.5427,N/A,13.2200944204732,N/A,0.8610881865666947,N/A,N/A,0.015025303417080926
UNH,455.74,N/A,19.1,N/A,4.73,N/A,1.13,N/A,13.286519428461327,N/A,1.4501918295098122,N/A,N/A,0.014949169241793186
ELV,507.35,N/A,20.12,N/A,3.0,N/A,0.6936,N/A,14.868156282450675,N/A,0.9363333137147192,N/A,N/A,0.014859599623807607
CNP,28.05,N/A,20.47,N/A,1.84,N/A,2.04,N/A,11.499061679215439,N/A,5.561281206854345,N/A,N/A,0.01457521608670339
KR,57.31,N/A,19.23,N/A,3.56,N/A,0.2757,N/A,8.31103204307989,N/A,1.54966222095672,N/A,N/A,0.014512517354113486
SLB,55.03,N/A,18.91,N/A,3.89,N/A,2.37,N/A,10.807586586310267,N/A,13.183839434709736,N/A,N/A,0.014445340140624301
RL,171.95,N/A,19.63,N/A,2.61,N/A,1.02,N/A,6.238226270064206,N/A,1.4332090132989144,N/A,N/A,0.014355770522638723
FE,38.01,N/A,19.8,N/A,2.1,N/A,1.7,N/A,12.811969541609448,N/A,5.672225328428988,N/A,N/A,0.014241569259707109
CMS,58.65,N/A,19.49,N/A,2.39,N/A,2.35,N/A,13.596177347646574,N/A,7.238940764123983,N/A,N/A,0.014163195843969724
YUM,136.1,N/A,24.3,N/A,-4.87,N/A,5.41,N/A,19.940092714983713,N/A,9.236678179554884,N/A,N/A,0.014143042679922968
AEP,83.95,N/A,19.8,N/A,1.75,N/A,2.33,N/A,12.586258802045501,N/A,6.984541586423735,N/A,N/A,0.014084822428232344
MDLZ,67.99,N/A,18.78,N/A,3.27,N/A,2.57,N/A,18.595962651806822,N/A,8.000965622202848,N/A,N/A,0.014080343947333067
KDP,30.77,N/A,19.85,N/A,1.66,N/A,2.88,N/A,14.396059115482881,N/A,6.973536556683168,N/A,N/A,0.014078104706883424
HST,20.28,N/A,19.5,N/A,2.15,N/A,2.69,N/A,12.004160664819945,N/A,4.978175761056864,N/A,N/A,0.014062430023735948
NVR,7907.89,N/A,17.07,N/A,5.79,N/A,2.61,N/A,11.701094588989557,N/A,8.768654763212082,N/A,N/A,0.01406019078328631
SO,69.91,N/A,19.31,N/A,2.43,N/A,3.03,N/A,13.213563088328378,N/A,7.739892271333071,N/A,N/A,0.01406019078328631
D,48.57,N/A,19.58,N/A,1.58,N/A,2.83,N/A,13.506679442779726,N/A,8.375262583909864,N/A,N/A,0.013860898383268394
BLDR,204.14,N/A,17.1,N/A,5.26,N/A,1.46,N/A,10.242013798757695,N/A,4.658382166060635,N/A,N/A,0.01384298445967128
SWKS,105.48,N/A,18.7,N/A,2.71,N/A,3.64,N/A,15.718095888609012,N/A,8.525567747697602,N/A,N/A,0.013775807246182095
WEC,80.28,N/A,19.02,N/A,2.16,N/A,2.85,N/A,12.491663591509381,N/A,7.73055599091515,N/A,N/A,0.013744457879887142
ETSY,64.98,N/A,29.67,N/A,-14.16,N/A,2.8,N/A,20.349714439220953,N/A,4.656302809498557,N/A,N/A,0.013589950288862021
NEE,64.18,N/A,17.83,N/A,2.78,N/A,4.69,N/A,13.42666820049127,N/A,8.926420227920731,N/A,N/A,0.013222714855121142
OXY,69.25,N/A,17.76,N/A,2.8,N/A,2.17,N/A,5.350049137343089,N/A,3.170107871564377,N/A,N/A,0.013184647767477273
ATO,116.23,N/A,18.48,N/A,1.56,N/A,4.44,N/A,14.024212011893793,N/A,8.558630337291191,N/A,N/A,0.013112992073088808
RVTY,102.28,N/A,18.43,N/A,1.6,N/A,4.59,N/A,20.387887023763845,N/A,9.697193587544513,N/A,N/A,0.013097317389941332
FOXA,31.02,N/A,18.57,N/A,1.38,N/A,0.9703,N/A,6.657601814868278,N/A,1.267308829360445,N/A,N/A,0.013092838909042052
TRV,230.89,N/A,18.05,N/A,2.12,N/A,1.28,N/A,12.925205502321036,N/A,1.2789591461415724,N/A,N/A,0.013074924985444936
BKR,34.31,N/A,17.96,N/A,2.23,N/A,1.35,N/A,10.119195342098202,N/A,7.182296903446963,N/A,N/A,0.01306372878319674
NI,27.19,N/A,18.37,N/A,1.57,N/A,2.21,N/A,10.907608205837034,N/A,6.059446707535057,N/A,N/A,0.013043575619149985
WRB,87.26,N/A,17.28,N/A,3.0,N/A,1.84,N/A,12.913697422387228,N/A,1.8435766415837749,N/A,N/A,0.012951766760714765
GPC,149.99,N/A,16.08,N/A,4.75,N/A,0.9057,N/A,11.306494605693603,N/A,2.860600391379613,N/A,N/A,0.01292937435621837
CPB,43.3,N/A,16.98,N/A,3.35,N/A,1.39,N/A,13.52573873275862,N/A,5.976053539819945,N/A,N/A,0.012906981951721977
PYPL,65.15,N/A,16.97,N/A,3.32,N/A,2.35,N/A,10.877656655585106,N/A,2.198111667058547,N/A,N/A,0.01288682878767522
KIM,18.51,N/A,18.15,N/A,1.31,N/A,7.0,N/A,15.211254361543727,N/A,10.643255141863856,N/A,N/A,0.012779345246092526
MS,92.47,N/A,17.85,N/A,1.67,N/A,1.57,N/A,9.41024702371025,N/A,1.5807035126173403,N/A,N/A,0.012739038917999015
DGX,130.63,N/A,17.37,N/A,2.3,N/A,1.57,N/A,12.987650501739736,N/A,6.113086724860793,N/A,N/A,0.012698732589905505
GIS,69.79,N/A,16.01,N/A,4.2,N/A,1.96,N/A,12.045683947386866,N/A,7.395172260470453,N/A,N/A,0.012636033857315598
LNT,48.85,N/A,17.57,N/A,1.85,N/A,3.11,N/A,13.069940067261905,N/A,9.114777630967206,N/A,N/A,0.01263155537641632
CTSH,71.13,N/A,16.9,N/A,2.68,N/A,1.83,N/A,9.701659117305459,N/A,4.995143369711466,N/A,N/A,0.012553181960678938
GS,408.07,N/A,17.84,N/A,1.25,N/A,1.22,N/A,8.491810105418404,N/A,1.2331667622124964,N/A,N/A,0.012544224998880379
HII,286.08,N/A,16.76,N/A,2.77,N/A,0.9893,N/A,13.240279731150794,N/A,8.108263650668286,N/A,N/A,0.012499440189887592
KMI,18.46,N/A,17.42,N/A,1.35,N/A,2.67,N/A,9.95128571483097,N/A,7.022184686802617,N/A,N/A,0.012306865511218595
NTRS,86.78,N/A,17.08,N/A,1.61,N/A,1.46,N/A,8.433253862532153,N/A,1.464172441200794,N/A,N/A,0.012194903488736619
PRU,115.71,N/A,17.12,N/A,1.49,N/A,0.7696,N/A,12.868615241635688,N/A,0.7695564941921859,N/A,N/A,0.012168032603340947
UHS,173.43,N/A,16.95,N/A,1.69,N/A,0.7296,N/A,8.726034898607452,N/A,1.0652000265929589,N/A,N/A,0.012143400958394912
GILD,69.58,N/A,15.46,N/A,3.79,N/A,3.19,N/A,9.072022333130487,N/A,5.061377092734504,N/A,N/A,0.012082941466254648
FOX,28.45,N/A,17.04,N/A,1.38,N/A,0.9703,N/A,6.657601814868278,N/A,1.267308829360445,N/A,N/A,0.012065027542657529
LYB,104.78,N/A,16.17,N/A,2.63,N/A,0.8272,N/A,8.229210345919372,N/A,7.9584508575504,N/A,N/A,0.012040395897711498
KEY,15.06,N/A,17.05,N/A,1.15,N/A,1.34,N/A,10.794228523183925,N/A,1.40974280470327,N/A,N/A,0.011968740203323032
XEL,53.53,N/A,16.68,N/A,1.69,N/A,2.09,N/A,11.01133669256557,N/A,6.629287470972337,N/A,N/A,0.011962022481974114
AEE,72.71,N/A,16.64,N/A,1.71,N/A,2.58,N/A,12.17622476910017,N/A,6.723979363397713,N/A,N/A,0.011944108558376998
BBY,79.61,N/A,14.02,N/A,5.62,N/A,0.3946,N/A,6.361566524330441,N/A,1.756171285639904,N/A,N/A,0.011935151596578441
RJF,128.29,N/A,16.1,N/A,2.5,N/A,1.99,N/A,11.058207257731958,N/A,2.0079485286409584,N/A,N/A,0.011935151596578441
WMB,39.23,N/A,15.09,N/A,3.87,N/A,4.38,N/A,10.582326984145626,N/A,7.989228794857586,N/A,N/A,0.011870213623538895
SNA,292.76,N/A,15.61,N/A,3.05,N/A,3.03,N/A,11.114182212527489,N/A,5.980937038097419,N/A,N/A,0.01185229969994178
CSCO,48.55,N/A,14.76,N/A,4.25,N/A,3.43,N/A,11.21900748257422,N/A,4.966045402786091,N/A,N/A,0.011818711093197189
DTE,109.1,N/A,16.12,N/A,2.04,N/A,1.77,N/A,11.218852489141675,N/A,6.689459137968244,N/A,N/A,0.011742576917909444
PNW,72.76,N/A,16.5,N/A,1.34,N/A,1.76,N/A,10.676949326087938,N/A,5.952672467583819,N/A,N/A,0.011684356666218818
FDX,273.52,N/A,15.67,N/A,2.55,N/A,0.7691,N/A,7.902394935315698,N/A,0.9353132840459812,N/A,N/A,0.011668681983071342
EVRG,52.2,N/A,16.47,N/A,1.24,N/A,2.18,N/A,10.612406805984026,N/A,6.257073360492351,N/A,N/A,0.011619418693179272
HUM,313.11,N/A,15.66,N/A,2.32,N/A,0.3551,N/A,10.527967743709029,N/A,0.46803504108146726,N/A,N/A,0.011558959201039005
MGM,46.53,N/A,14.59,N/A,3.87,N/A,0.9126,N/A,7.783730540547948,N/A,2.3882052421811593,N/A,N/A,0.011534327556092974
PCG,16.81,N/A,16.01,N/A,1.43,N/A,1.47,N/A,11.941020300775193,N/A,4.568409724086798,N/A,N/A,0.011395494648215326
EXC,37.34,N/A,15.96,N/A,1.45,N/A,1.72,N/A,10.757516845059184,N/A,5.997758353700133,N/A,N/A,0.011370863003269291
COP,133.52,N/A,14.74,N/A,3.19,N/A,2.8,N/A,6.8493529007803335,N/A,4.958293194842827,N/A,N/A,0.01133055667517578
TROW,116.64,N/A,15.03,N/A,2.74,N/A,4.04,N/A,9.3266909542708,N/A,4.037740411732838,N/A,N/A,0.011323838953826862
CAG,31.09,N/A,15.7,N/A,1.62,N/A,1.23,N/A,11.475554348740523,N/A,7.084081906458528,N/A,N/A,0.011272336423485152
OMC,92.62,N/A,13.4,N/A,5.05,N/A,1.24,N/A,8.00556868759502,N/A,1.3260881634472714,N/A,N/A,0.011263379461686597
ON,69.32,N/A,14.18,N/A,3.83,N/A,3.61,N/A,11.511127180170377,N/A,7.898468030642461,N/A,N/A,0.0112409870571902
HAL,41.24,N/A,14.12,N/A,3.89,N/A,1.59,N/A,8.169780671083398,N/A,9.616356514678898,N/A,N/A,0.011227551614492366
KHC,37.06,N/A,16.04,N/A,0.9097,N/A,1.69,N/A,10.279829872316384,N/A,7.134611926842931,N/A,N/A,0.011182632451072594
PCAR,122.21,N/A,13.95,N/A,4.03,N/A,1.82,N/A,8.060791374466909,N/A,6.752100730318585,N/A,N/A,0.011176049084150656
VZ,42.12,N/A,15.26,N/A,1.92,N/A,1.32,N/A,7.036076720149495,N/A,4.1181604473428,N/A,N/A,0.011111111111111112
OKE,79.65,N/A,14.53,N/A,2.82,N/A,2.63,N/A,13.039011658527206,N/A,11.79817321433542,N/A,N/A,0.011023780733575171
AIG,77.71,N/A,15.6,N/A,1.18,N/A,1.13,N/A,6.595651040383896,N/A,1.1306548501559763,N/A,N/A,0.011008106050427695
AIZ,179.85,N/A,15.05,N/A,1.94,N/A,0.8398,N/A,9.318358727073365,N/A,0.8397874047755938,N/A,N/A,0.010978995924582383
LKQ,51.47,N/A,14.75,N/A,2.23,N/A,0.9903,N/A,10.28078659767442,N/A,3.1718301252017937,N/A,N/A,0.01090734023019392
TAP,67.35,N/A,15.41,N/A,1.02,N/A,1.15,N/A,8.893894904290429,N/A,4.317879301409998,N/A,N/A,0.01080881365040978
TEL,144.65,N/A,13.76,N/A,3.42,N/A,2.81,N/A,13.392469997209043,N/A,9.24214560862866,N/A,N/A,0.010775225043665189
SRE,70.52,N/A,14.72,N/A,1.6,N/A,2.67,N/A,10.160206395796848,N/A,6.244346090081139,N/A,N/A,0.010605042769492588
C,61.6,N/A,15.36,N/A,0.6281,N/A,0.7508,N/A,6.464363618760616,N/A,0.7969326714085002,N/A,N/A,0.010599713377222446
VRSN,187.82,N/A,23.77,N/A,-11.99,N/A,12.69,N/A,18.96701253948502,N/A,15.291586664608737,N/A,N/A,0.010598325048143667
CNC,72.78,N/A,14.7,N/A,1.51,N/A,0.2528,N/A,11.94432789604377,N/A,0.3773021315651278,N/A,N/A,0.01055130099870124
